"","Datum","Factuurnr.","Taak","Eind","Resource"
"393",2018-04-06,"I1800355","Accorderen inkoopfactuur",2018-04-16 14:19:40,"3f309e071cff9027995b0b80691d6369"
"394",2018-04-30,"I1500158","Beoordelen inkoopfactuur",2018-04-09 14:52:55,"3f309e071cff9027995b0b80691d6369"
"395",2018-04-30,"I1500158","Accorderen inkoopfactuur",2018-04-09 14:53:02,"3f309e071cff9027995b0b80691d6369"
"396",2018-05-30,"I1500159","Beoordelen inkoopfactuur",2018-04-09 14:53:10,"3f309e071cff9027995b0b80691d6369"
"397",2018-05-30,"I1500159","Accorderen inkoopfactuur",2018-04-09 14:53:15,"3f309e071cff9027995b0b80691d6369"
"398",2018-06-30,"I1500160","Beoordelen inkoopfactuur",2018-04-09 14:53:24,"3f309e071cff9027995b0b80691d6369"
"399",2018-06-30,"I1500160","Accorderen inkoopfactuur",2018-04-09 14:53:31,"3f309e071cff9027995b0b80691d6369"
"400",2018-01-31,"I1500155","Beoordelen inkoopfactuur",2018-04-09 14:52:13,"3f309e071cff9027995b0b80691d6369"
"401",2018-01-31,"I1500155","Accorderen inkoopfactuur",2018-04-09 14:52:19,"3f309e071cff9027995b0b80691d6369"
"402",2018-02-28,"I1500156","Beoordelen inkoopfactuur",2018-04-09 14:52:28,"3f309e071cff9027995b0b80691d6369"
"403",2018-02-28,"I1500156","Accorderen inkoopfactuur",2018-04-09 14:52:33,"3f309e071cff9027995b0b80691d6369"
"404",2018-03-31,"I1500157","Beoordelen inkoopfactuur",2018-04-09 14:52:42,"3f309e071cff9027995b0b80691d6369"
"405",2018-03-31,"I1500157","Accorderen inkoopfactuur",2018-04-09 14:52:47,"3f309e071cff9027995b0b80691d6369"
"406",2018-01-31,"I1500155","Inkoopfactuur <= 5.000",2018-04-09 13:40:20,"abdc6e9dade886e0d35ceab9951ebeda"
"407",2018-02-28,"I1500156","Inkoopfactuur <= 5.000",2018-04-09 13:41:10,"abdc6e9dade886e0d35ceab9951ebeda"
"408",2018-03-31,"I1500157","Inkoopfactuur <= 5.000",2018-04-09 13:41:57,"abdc6e9dade886e0d35ceab9951ebeda"
"409",2018-04-30,"I1500158","Inkoopfactuur <= 5.000",2018-04-09 13:42:42,"abdc6e9dade886e0d35ceab9951ebeda"
"410",2018-05-30,"I1500159","Inkoopfactuur <= 5.000",2018-04-09 13:43:21,"abdc6e9dade886e0d35ceab9951ebeda"
"411",2018-06-30,"I1500160","Inkoopfactuur <= 5.000",2018-04-09 13:44:03,"abdc6e9dade886e0d35ceab9951ebeda"
"412",2018-04-09,"I1800363","Inkoopfactuur <= 5.000",2018-04-16 13:27:16,"abdc6e9dade886e0d35ceab9951ebeda"
"413",2018-04-09,"I1800363","Beoordelen inkoopfactuur",2018-04-17 09:26:31,"ae16f6dd57a3df272fd619111c714ba5"
"414",2018-04-09,"I1800363","Accorderen inkoopfactuur",2018-04-30 10:39:24,"3f309e071cff9027995b0b80691d6369"
"415",2018-04-09,"I1800363","Accorderen inkoopfactuur",2018-05-02 09:28:51,"75572b45b980f8caf94060619e19c9a3"
"416",2018-04-09,"I1800363","Accorderen inkoopfactuur",2018-05-03 08:54:46,"3f309e071cff9027995b0b80691d6369"
"417",2018-04-09,"I1800363","Accorderen inkoopfactuur",2018-05-08 15:21:22,"524fdb068748af57469e4dc7edf8e89d"
"418",2018-04-09,"I1800363","Accorderen inkoopfactuur",2018-05-08 15:21:32,"524fdb068748af57469e4dc7edf8e89d"
"419",2018-04-03,"I1800318","Accorderen inkoopfactuur",2018-04-17 09:39:36,"524fdb068748af57469e4dc7edf8e89d"
"420",2018-03-22,"I1800294","Beoordelen inkoopfactuur",2018-04-04 18:04:28,"077105d56ec3db5318815244824f663b"
"421",2018-03-22,"I1800294","Accorderen inkoopfactuur",2018-04-05 12:46:51,"3f309e071cff9027995b0b80691d6369"
"422",2018-04-03,"I1800318","Inkoopfactuur <= 5.000",2018-04-09 08:18:31,"abdc6e9dade886e0d35ceab9951ebeda"
"423",2018-04-03,"I1800318","Beoordelen inkoopfactuur",2018-04-16 14:25:15,"3f309e071cff9027995b0b80691d6369"
"424",2018-04-03,"I1800318","Accorderen inkoopfactuur",2018-04-16 14:25:37,"3f309e071cff9027995b0b80691d6369"
"425",2018-04-03,"I1800318","Accorderen inkoopfactuur",2018-04-17 09:39:30,"524fdb068748af57469e4dc7edf8e89d"
"426",2018-03-22,"I1800294","Inkoopfactuur <= 5.000",2018-03-29 15:22:26,"abdc6e9dade886e0d35ceab9951ebeda"
"427",2018-03-22,"I1800294","Beoordelen inkoopfactuur",2018-04-03 10:32:25,"2bdc2f5d286fc7d297896e561064a593"
"428",2018-03-22,"I1800294","Beoordelen inkoopfactuur",2018-04-04 09:26:02,"99fcb711c97118db437f1ee4296b83e9"
"429",2018-02-28,"I1800210","Inkoopfactuur <= 5.000",2018-03-06 15:53:54,"abdc6e9dade886e0d35ceab9951ebeda"
"430",2018-02-28,"I1800210","Beoordelen inkoopfactuur",2018-03-08 09:04:47,"2bdc2f5d286fc7d297896e561064a593"
"431",2018-02-28,"I1800210","Accorderen inkoopfactuur",2018-03-08 11:11:08,"3f309e071cff9027995b0b80691d6369"
"432",2018-03-01,"I1800358","Inkoopfactuur <= 5.000",2018-04-12 15:24:21,"abdc6e9dade886e0d35ceab9951ebeda"
"433",2018-03-01,"I1800358","Beoordelen inkoopfactuur",2018-04-17 08:21:10,"99fcb711c97118db437f1ee4296b83e9"
"434",2018-03-01,"I1800358","Accorderen inkoopfactuur",2018-04-17 09:40:47,"524fdb068748af57469e4dc7edf8e89d"
"435",2018-03-13,"I1800252","Beoordelen inkoopfactuur",2018-03-20 20:51:05,"2bdc2f5d286fc7d297896e561064a593"
"436",2018-03-13,"I1800275","Accorderen inkoopfactuur",2018-03-22 06:40:14,"3f309e071cff9027995b0b80691d6369"
"437",2018-03-13,"I1800252","Accorderen inkoopfactuur",2018-03-22 06:40:25,"3f309e071cff9027995b0b80691d6369"
"438",2018-03-13,"I1800252","Inkoopfactuur <= 5.000",2018-03-15 11:00:40,"abdc6e9dade886e0d35ceab9951ebeda"
"439",2018-03-13,"I1800275","Inkoopfactuur <= 5.000",2018-03-20 10:04:48,"abdc6e9dade886e0d35ceab9951ebeda"
"440",2018-03-13,"I1800275","Beoordelen inkoopfactuur",2018-03-20 20:50:58,"2bdc2f5d286fc7d297896e561064a593"
"441",2018-04-02,"I1800313","Inkoopfactuur <= 5.000",2018-04-09 08:11:00,"abdc6e9dade886e0d35ceab9951ebeda"
"442",2018-04-02,"I1800313","Beoordelen inkoopfactuur",2018-04-13 19:23:47,"077105d56ec3db5318815244824f663b"
"443",2018-04-02,"I1800313","Accorderen inkoopfactuur",2018-04-16 14:20:07,"3f309e071cff9027995b0b80691d6369"
"444",2018-04-05,"I1800338","Inkoopfactuur <= 5.000",2018-04-09 14:20:57,"abdc6e9dade886e0d35ceab9951ebeda"
"445",2018-04-05,"I1800342","Inkoopfactuur <= 5.000",2018-04-10 12:32:54,"abdc6e9dade886e0d35ceab9951ebeda"
"446",2018-04-05,"I1800338","Beoordelen inkoopfactuur",2018-04-13 19:25:14,"077105d56ec3db5318815244824f663b"
"447",2018-04-05,"I1800342","Beoordelen inkoopfactuur",2018-04-13 19:26:50,"077105d56ec3db5318815244824f663b"
"448",2018-04-05,"I1800338","Accorderen inkoopfactuur",2018-04-16 14:20:28,"3f309e071cff9027995b0b80691d6369"
"449",2018-04-05,"I1800342","Accorderen inkoopfactuur",2018-04-16 14:20:41,"3f309e071cff9027995b0b80691d6369"
"450",2018-01-25,"I1800302","Inkoopfactuur <= 5.000",2018-03-29 16:03:45,"abdc6e9dade886e0d35ceab9951ebeda"
"451",2018-01-25,"I1800302","Beoordelen inkoopfactuur",2018-03-29 16:28:45,"a216d47a59899311f48cfe17ad176b09"
"452",2018-01-25,"I1800302","Accorderen inkoopfactuur",2018-04-05 12:53:05,"3f309e071cff9027995b0b80691d6369"
"453",2018-03-23,"I1800284","Inkoopfactuur <= 5.000",2018-03-26 15:16:19,"abdc6e9dade886e0d35ceab9951ebeda"
"454",2018-03-23,"I1800284","Beoordelen inkoopfactuur",2018-03-27 08:55:34,"a216d47a59899311f48cfe17ad176b09"
"455",2018-03-23,"I1800284","Accorderen inkoopfactuur",2018-04-05 12:51:59,"3f309e071cff9027995b0b80691d6369"
"456",2018-02-23,"I1800212","Inkoopfactuur <= 5.000",2018-03-06 16:04:45,"abdc6e9dade886e0d35ceab9951ebeda"
"457",2018-03-02,"I1800213","Inkoopfactuur <= 5.000",2018-03-06 16:06:15,"abdc6e9dade886e0d35ceab9951ebeda"
